Date,Open,High,Low,Close,Adj Close,Volume
2019-09-18,0.090519,0.100272,0.080045,0.086921,0.086921,14772274
2019-09-19,0.087702,0.087721,0.054469,0.057924,0.057924,27324784
2019-09-20,0.058087,0.059061,0.047800,0.052490,0.052490,15814443
2019-09-21,0.052402,0.055408,0.045456,0.048021,0.048021,13144171
2019-09-22,0.048065,0.048237,0.038757,0.039735,0.039735,10549578
2019-09-23,0.039739,0.039803,0.035488,0.037645,0.037645,11214860
2019-09-24,0.037689,0.043997,0.029084,0.029641,0.029641,12197101
2019-09-25,0.029515,0.031111,0.025871,0.030202,0.030202,8906428
2019-09-26,0.030204,0.031022,0.027305,0.028966,0.028966,5190095
2019-09-27,0.028966,0.037203,0.028101,0.036991,0.036991,11853816
2019-09-28,0.037237,0.041804,0.037237,0.039928,0.039928,11250683
2019-09-29,0.039813,0.041454,0.032223,0.035776,0.035776,13731231
2019-09-30,0.035776,0.043036,0.035103,0.038021,0.038021,20942700
2019-10-01,0.037960,0.039749,0.036967,0.038491,0.038491,7928612
2019-10-02,0.038491,0.039537,0.035993,0.037578,0.037578,5630019
2019-10-03,0.037578,0.039177,0.036504,0.037682,0.037682,5937607
2019-10-04,0.037681,0.039019,0.036788,0.038763,0.038763,5625637
2019-10-05,0.038763,0.042647,0.038763,0.041894,0.041894,11880918
2019-10-06,0.041844,0.041916,0.037880,0.038410,0.038410,4268439
2019-10-07,0.038340,0.038870,0.036291,0.038178,0.038178,4898706
2019-10-08,0.038180,0.039060,0.037128,0.038802,0.038802,3923517
2019-10-09,0.038765,0.039741,0.038298,0.039021,0.039021,4648692
2019-10-10,0.038997,0.039014,0.036855,0.038340,0.038340,3263875
2019-10-11,0.038224,0.038311,0.035473,0.036064,0.036064,3022574
2019-10-12,0.036091,0.036262,0.034779,0.034988,0.034988,2184305
2019-10-13,0.035014,0.035359,0.033002,0.033109,0.033109,2458017
2019-10-14,0.033109,0.037750,0.032373,0.037348,0.037348,5504883
2019-10-15,0.037063,0.040378,0.035685,0.037829,0.037829,5756021
2019-10-16,0.037829,0.038632,0.035194,0.037631,0.037631,5250770
2019-10-17,0.037595,0.037595,0.034178,0.035072,0.035072,3692976
2019-10-18,0.035053,0.036061,0.033457,0.033873,0.033873,3286417
2019-10-19,0.033835,0.034531,0.032917,0.033564,0.033564,2228299
2019-10-20,0.033519,0.033952,0.032532,0.032826,0.032826,2175117
2019-10-21,0.032921,0.034410,0.032771,0.033216,0.033216,2536833
2019-10-22,0.033191,0.033366,0.031553,0.031553,0.031553,3346363
2019-10-23,0.031548,0.031685,0.027170,0.028082,0.028082,4196944
2019-10-24,0.028064,0.029595,0.026927,0.028932,0.028932,3089111
2019-10-25,0.028932,0.030998,0.028377,0.030687,0.030687,5065332
2019-10-26,0.030724,0.032731,0.029155,0.030738,0.030738,4380610
2019-10-27,0.030738,0.031874,0.029115,0.031685,0.031685,2871327
2019-10-28,0.031690,0.032876,0.030195,0.031716,0.031716,3899067
2019-10-29,0.031702,0.034348,0.031578,0.033962,0.033962,4655707
2019-10-30,0.033933,0.033971,0.031959,0.032780,0.032780,3039732
2019-10-31,0.032850,0.033724,0.031636,0.033367,0.033367,2922878
2019-11-01,0.033194,0.034891,0.032813,0.034728,0.034728,3060335
2019-11-02,0.034728,0.034820,0.033106,0.034512,0.034512,1933072
2019-11-03,0.034491,0.036991,0.033266,0.036861,0.036861,4251345
2019-11-04,0.036826,0.038995,0.035456,0.036526,0.036526,6682646
2019-11-05,0.036526,0.037164,0.035222,0.036344,0.036344,2591129
2019-11-06,0.036385,0.036385,0.033882,0.034289,0.034289,2856084
2019-11-07,0.034190,0.034339,0.031964,0.032896,0.032896,1872305
2019-11-08,0.032892,0.035656,0.032889,0.032929,0.032929,2694297
2019-11-09,0.032935,0.039337,0.032917,0.036934,0.036934,6615639
2019-11-10,0.036938,0.036938,0.034764,0.035468,0.035468,2730208
2019-11-11,0.035468,0.035807,0.033602,0.034571,0.034571,1501343
2019-11-12,0.034614,0.035574,0.034335,0.035205,0.035205,1351782
2019-11-13,0.035205,0.035408,0.033444,0.035140,0.035140,2923369
2019-11-14,0.035208,0.035631,0.033486,0.034136,0.034136,1729182
2019-11-15,0.034136,0.034331,0.031793,0.032503,0.032503,2166920
2019-11-16,0.032508,0.033429,0.031993,0.033018,0.033018,1158702
2019-11-17,0.033018,0.034759,0.032801,0.032866,0.032866,2146531
2019-11-18,0.032858,0.033419,0.030364,0.031089,0.031089,1568646
2019-11-19,0.031073,0.031412,0.028702,0.030538,0.030538,1724167
2019-11-20,0.030538,0.031121,0.028935,0.029501,0.029501,1570142
2019-11-21,0.029499,0.029812,0.026543,0.027417,0.027417,1310836
2019-11-22,0.027417,0.028620,0.025504,0.026378,0.026378,1852150
2019-11-23,0.026383,0.027249,0.024545,0.025816,0.025816,4092773
2019-11-24,0.025855,0.026253,0.024367,0.024539,0.024539,1361580
2019-11-25,0.024431,0.025373,0.022606,0.024146,0.024146,1893576
2019-11-26,0.024136,0.025017,0.023993,0.024528,0.024528,1365881
2019-11-27,0.024389,0.024747,0.023043,0.024320,0.024320,1471633
2019-11-28,0.024343,0.029078,0.024198,0.025187,0.025187,1280190
2019-11-29,0.025259,0.027966,0.024969,0.026047,0.026047,1800486
2019-11-30,0.026047,0.027716,0.024260,0.024913,0.024913,1643155
2019-12-01,0.026252,0.027225,0.024091,0.025456,0.025456,1791913
2019-12-02,0.026138,0.027052,0.024428,0.024585,0.024585,1570044
2019-12-03,0.024585,0.024932,0.024279,0.024309,0.024309,2056880
2019-12-04,0.024403,0.024427,0.022437,0.023123,0.023123,3614457
2019-12-05,0.023123,0.023767,0.022023,0.022766,0.022766,3362743
2019-12-06,0.022778,0.024483,0.022423,0.024121,0.024121,3336203
2019-12-07,0.024065,0.026315,0.023598,0.024962,0.024962,2647116
2019-12-08,0.024962,0.027481,0.023998,0.027448,0.027448,4424099
2019-12-09,0.027448,0.028368,0.024916,0.025427,0.025427,4359300
2019-12-10,0.025374,0.025477,0.022175,0.023482,0.023482,4190617
2019-12-11,0.023452,0.025429,0.023253,0.024717,0.024717,2930070
2019-12-12,0.024928,0.025112,0.023274,0.023438,0.023438,2442938
2019-12-13,0.023389,0.025153,0.023268,0.023446,0.023446,2083550
2019-12-14,0.023585,0.024924,0.023252,0.023411,0.023411,1939084
2019-12-15,0.023411,0.023411,0.022378,0.022882,0.022882,2330691
2019-12-16,0.022882,0.023212,0.021066,0.021066,0.021066,2954861
2019-12-17,0.021066,0.021455,0.018513,0.018593,0.018593,1478721
2019-12-18,0.018532,0.020276,0.018289,0.019582,0.019582,1637684
2019-12-19,0.019589,0.019673,0.018120,0.018295,0.018295,1111246
2019-12-20,0.018295,0.019477,0.018230,0.018944,0.018944,1324993
2019-12-21,0.018944,0.019307,0.018155,0.018521,0.018521,1181121
2019-12-22,0.018505,0.020091,0.018364,0.018640,0.018640,1893878
2019-12-23,0.018646,0.018714,0.015071,0.015638,0.015638,6095890
2019-12-24,0.015594,0.015974,0.015122,0.015223,0.015223,1229424
2019-12-25,0.015223,0.015832,0.014766,0.014855,0.014855,1553523
2019-12-26,0.014855,0.015278,0.014671,0.014752,0.014752,995518
2019-12-27,0.014747,0.014754,0.014046,0.014297,0.014297,1321305
2019-12-28,0.014297,0.014807,0.014241,0.014255,0.014255,861231
2019-12-29,0.014269,0.014308,0.012923,0.013135,0.013135,2387983
2019-12-30,0.013144,0.013341,0.011309,0.011466,0.011466,2703762
2019-12-31,0.011458,0.012125,0.010149,0.010219,0.010219,2252336
2020-01-01,0.010217,0.010971,0.010123,0.010439,0.010439,1936716
2020-01-02,0.010439,0.011050,0.010012,0.010080,0.010080,1676703
2020-01-03,0.010054,0.010736,0.010051,0.010383,0.010383,970022
2020-01-04,0.010378,0.012123,0.010134,0.011203,0.011203,2659372
2020-01-05,0.011190,0.012718,0.011136,0.011760,0.011760,3472337
2020-01-06,0.011772,0.011869,0.011164,0.011342,0.011342,1837289
2020-01-07,0.011342,0.011412,0.010869,0.011037,0.011037,1685750
2020-01-08,0.010952,0.010952,0.010157,0.010276,0.010276,1159426
2020-01-09,0.010263,0.010695,0.010094,0.010173,0.010173,1092002
2020-01-10,0.010166,0.011095,0.010110,0.010616,0.010616,1755040
2020-01-11,0.010616,0.011554,0.010436,0.011411,0.011411,1207051
2020-01-12,0.011412,0.011432,0.010863,0.010985,0.010985,753126
2020-01-13,0.010988,0.011062,0.010447,0.010567,0.010567,620240
2020-01-14,0.010572,0.010845,0.010163,0.010293,0.010293,1407667
2020-01-15,0.010266,0.010745,0.010090,0.010417,0.010417,1287441
2020-01-16,0.010421,0.011758,0.010388,0.011488,0.011488,1576593
2020-01-17,0.011550,0.011903,0.010961,0.011686,0.011686,1887919
2020-01-18,0.011697,0.012155,0.011364,0.011912,0.011912,1117063
2020-01-19,0.011902,0.012003,0.010552,0.010846,0.010846,1126616
2020-01-20,0.010842,0.011014,0.010557,0.010573,0.010573,401932
2020-01-21,0.010561,0.010667,0.010183,0.010433,0.010433,585472
2020-01-22,0.010428,0.010926,0.010406,0.010779,0.010779,970784
2020-01-23,0.010777,0.010844,0.010169,0.010185,0.010185,681767
2020-01-24,0.010185,0.011148,0.010183,0.011100,0.011100,960056
2020-01-25,0.011182,0.012552,0.010673,0.012091,0.012091,2762500
2020-01-26,0.012091,0.012438,0.011643,0.011672,0.011672,1528900
2020-01-27,0.011680,0.012407,0.011314,0.011410,0.011410,1349616
2020-01-28,0.011408,0.011942,0.011203,0.011541,0.011541,1187229
2020-01-29,0.011539,0.011769,0.011267,0.011618,0.011618,752773
2020-01-30,0.011612,0.012246,0.011442,0.011953,0.011953,659433
2020-01-31,0.011986,0.013397,0.011956,0.013177,0.013177,1319754
2020-02-01,0.013161,0.014828,0.012947,0.013359,0.013359,1168701
2020-02-02,0.013418,0.015022,0.013036,0.013144,0.013144,860062
2020-02-03,0.013144,0.015929,0.012770,0.015731,0.015731,4042772
2020-02-04,0.015948,0.019255,0.015202,0.018202,0.018202,11594548
2020-02-05,0.018262,0.023778,0.017359,0.022790,0.022790,11911749
2020-02-06,0.022834,0.024601,0.020227,0.020701,0.020701,7403601
2020-02-07,0.020702,0.022112,0.019879,0.021144,0.021144,4548240
2020-02-08,0.021160,0.021190,0.017998,0.018495,0.018495,3787210
2020-02-09,0.018475,0.021178,0.017915,0.020632,0.020632,5083997
2020-02-10,0.020635,0.020951,0.018723,0.018958,0.018958,2131724
2020-02-11,0.018959,0.034953,0.018778,0.034050,0.034050,64071338
2020-02-12,0.034020,0.082414,0.033735,0.068990,0.068990,280239702
2020-02-13,0.068990,0.076360,0.051756,0.055412,0.055412,80583280
2020-02-14,0.055274,0.059891,0.048429,0.054589,0.054589,55305919
2020-02-15,0.054589,0.056098,0.047066,0.048154,0.048154,21033193
2020-02-16,0.048132,0.054741,0.039410,0.051754,0.051754,28202193
2020-02-17,0.052010,0.059693,0.046528,0.051640,0.051640,48066896
2020-02-18,0.051534,0.053764,0.048098,0.050902,0.050902,15233725
2020-02-19,0.050934,0.053840,0.045946,0.046493,0.046493,12566028
2020-02-20,0.046689,0.048659,0.043600,0.046309,0.046309,10408516
2020-02-21,0.046290,0.049724,0.044870,0.046500,0.046500,10658120
2020-02-22,0.046215,0.048858,0.045102,0.045420,0.045420,8250446
2020-02-23,0.045420,0.045456,0.041997,0.042754,0.042754,10124184
2020-02-24,0.042769,0.043455,0.036143,0.037868,0.037868,9647410
2020-02-25,0.037788,0.038833,0.033560,0.035714,0.035714,9353337
2020-02-26,0.035510,0.037788,0.029674,0.032688,0.032688,10358571
2020-02-27,0.032648,0.038668,0.030667,0.036332,0.036332,13561158
2020-02-28,0.036306,0.037389,0.032476,0.035126,0.035126,10046671
2020-02-29,0.035066,0.037713,0.034271,0.034373,0.034373,7082686
2020-03-01,0.034282,0.036057,0.033364,0.034289,0.034289,5769514
2020-03-02,0.034293,0.040478,0.033662,0.038278,0.038278,11917773
2020-03-03,0.038371,0.041513,0.037332,0.041513,0.041513,8915294
2020-03-04,0.041505,0.045728,0.040729,0.041862,0.041862,13300417
2020-03-05,0.041902,0.048563,0.041805,0.045718,0.045718,13757078
2020-03-06,0.045718,0.062545,0.045697,0.058481,0.058481,42844513
2020-03-07,0.058526,0.064491,0.053842,0.055962,0.055962,38164623
2020-03-08,0.055962,0.063232,0.049979,0.050579,0.050579,30772706
2020-03-09,0.050942,0.054928,0.043377,0.045304,0.045304,25683972
2020-03-10,0.045375,0.049182,0.043762,0.044889,0.044889,22436440
2020-03-11,0.044852,0.053364,0.044645,0.048026,0.048026,57157478
2020-03-12,0.048003,0.048283,0.025887,0.026671,0.026671,36350435
2020-03-13,0.026650,0.036638,0.019854,0.035720,0.035720,54651413
2020-03-14,0.035741,0.047904,0.035741,0.042077,0.042077,111297744
2020-03-15,0.042077,0.046650,0.039774,0.041017,0.041017,38029597
2020-03-16,0.041033,0.042220,0.030965,0.036296,0.036296,39392143
2020-03-17,0.036367,0.039083,0.034546,0.037449,0.037449,25976594
2020-03-18,0.037357,0.038221,0.033947,0.035982,0.035982,26223585
2020-03-19,0.035982,0.041876,0.034102,0.040400,0.040400,46773504
2020-03-20,0.040566,0.043791,0.036488,0.038077,0.038077,30210239
2020-03-21,0.038077,0.039291,0.034946,0.037050,0.037050,14621250
2020-03-22,0.036980,0.038339,0.033345,0.033452,0.033452,13686858
